source,target,replicates_with_edge,frequency
age,avg_heart_rate,68,0.68
age,blood_pressure_diastolic,10,0.1
age,blood_pressure_systolic,34,0.34
age,bmi,46,0.46
age,calories_burned,42,0.42
age,height_cm,7,0.07
age,resting_heart_rate,21,0.21
age,weight_kg,27,0.27
avg_heart_rate,age,32,0.32
avg_heart_rate,blood_pressure_diastolic,10,0.1
avg_heart_rate,blood_pressure_systolic,9,0.09
avg_heart_rate,bmi,32,0.32
avg_heart_rate,calories_burned,49,0.49
avg_heart_rate,height_cm,2,0.02
avg_heart_rate,resting_heart_rate,6,0.06
avg_heart_rate,weight_kg,17,0.17
blood_pressure_diastolic,age,8,0.08
blood_pressure_diastolic,avg_heart_rate,5,0.05
blood_pressure_diastolic,blood_pressure_systolic,29,0.29
blood_pressure_diastolic,bmi,24,0.24
blood_pressure_diastolic,height_cm,21,0.21
blood_pressure_diastolic,resting_heart_rate,44,0.44
blood_pressure_diastolic,stress_level,1,0.01
blood_pressure_diastolic,weight_kg,32,0.32
blood_pressure_systolic,age,10,0.1
blood_pressure_systolic,avg_heart_rate,4,0.04
blood_pressure_systolic,blood_pressure_diastolic,24,0.24
blood_pressure_systolic,bmi,53,0.53
blood_pressure_systolic,calories_burned,1,0.01
blood_pressure_systolic,height_cm,28,0.28
blood_pressure_systolic,hydration_level,1,0.01
blood_pressure_systolic,resting_heart_rate,20,0.2
blood_pressure_systolic,weight_kg,34,0.34
bmi,age,24,0.24
bmi,avg_heart_rate,13,0.13
bmi,blood_pressure_diastolic,18,0.18
bmi,blood_pressure_systolic,24,0.24
bmi,calories_burned,1,0.01
bmi,height_cm,29,0.29
bmi,resting_heart_rate,15,0.15
bmi,stress_level,5,0.05
bmi,weight_kg,100,1.0
calories_burned,age,7,0.07
calories_burned,avg_heart_rate,51,0.51
calories_burned,hours_sleep,4,0.04
calories_burned,resting_heart_rate,1,0.01
daily_steps,fitness_level,82,0.82
daily_steps,hours_sleep,2,0.02
daily_steps,hydration_level,1,0.01
daily_steps,weight_kg,100,1.0
duration_minutes,age,9,0.09
duration_minutes,avg_heart_rate,51,0.51
duration_minutes,calories_burned,100,1.0
duration_minutes,daily_steps,18,0.18
duration_minutes,fitness_level,42,0.42
duration_minutes,hours_sleep,1,0.01
duration_minutes,hydration_level,1,0.01
duration_minutes,resting_heart_rate,9,0.09
duration_minutes,weight_kg,100,1.0
fitness_level,age,12,0.12
fitness_level,avg_heart_rate,1,0.01
fitness_level,daily_steps,18,0.18
fitness_level,hours_sleep,2,0.02
fitness_level,weight_kg,100,1.0
height_cm,age,15,0.15
height_cm,avg_heart_rate,3,0.03
height_cm,blood_pressure_diastolic,13,0.13
height_cm,blood_pressure_systolic,17,0.17
height_cm,bmi,71,0.71
height_cm,calories_burned,1,0.01
height_cm,hours_sleep,1,0.01
height_cm,resting_heart_rate,17,0.17
height_cm,stress_level,21,0.21
height_cm,weight_kg,100,1.0
hours_sleep,blood_pressure_diastolic,1,0.01
hours_sleep,calories_burned,1,0.01
hours_sleep,duration_minutes,1,0.01
hydration_level,avg_heart_rate,1,0.01
hydration_level,blood_pressure_systolic,1,0.01
hydration_level,daily_steps,2,0.02
hydration_level,fitness_level,2,0.02
hydration_level,hours_sleep,1,0.01
hydration_level,resting_heart_rate,12,0.12
resting_heart_rate,age,6,0.06
resting_heart_rate,avg_heart_rate,8,0.08
resting_heart_rate,blood_pressure_diastolic,28,0.28
resting_heart_rate,blood_pressure_systolic,16,0.16
resting_heart_rate,bmi,22,0.22
resting_heart_rate,calories_burned,3,0.03
resting_heart_rate,duration_minutes,2,0.02
resting_heart_rate,height_cm,16,0.16
resting_heart_rate,hydration_level,3,0.03
resting_heart_rate,stress_level,3,0.03
resting_heart_rate,weight_kg,69,0.69
stress_level,avg_heart_rate,1,0.01
stress_level,blood_pressure_systolic,1,0.01
stress_level,fitness_level,1,0.01
stress_level,height_cm,8,0.08
stress_level,weight_kg,2,0.02
weight_kg,age,17,0.17
weight_kg,avg_heart_rate,51,0.51
weight_kg,calories_burned,100,1.0
weight_kg,hours_sleep,8,0.08
