source,target,adjacency_frequency,a_to_b_frequency,b_to_a_frequency,unresolved_frequency
age,height_cm,0.0,0.0,0.0,0.0
age,duration_minutes,0.0,0.0,0.0,0.0
age,calories_burned,0.33,0.33,0.0,0.0
age,avg_heart_rate,1.0,1.0,0.0,0.0
age,hours_sleep,0.0,0.0,0.0,0.0
age,stress_level,0.04,0.04,0.0,0.0
age,daily_steps,0.16,0.16,0.0,0.0
age,hydration_level,0.05,0.05,0.0,0.0
age,resting_heart_rate,0.0,0.0,0.0,0.0
age,blood_pressure_systolic,0.02,0.02,0.0,0.0
age,blood_pressure_diastolic,0.0,0.0,0.0,0.0
age,fitness_level,0.17,0.17,0.0,0.0
duration_minutes,height_cm,0.07,0.0,0.07,0.0
calories_burned,height_cm,1.0,0.0,1.0,0.0
avg_heart_rate,height_cm,0.0,0.0,0.0,0.0
height_cm,hours_sleep,0.06,0.06,0.0,0.0
height_cm,stress_level,0.4,0.4,0.0,0.0
daily_steps,height_cm,0.08,0.0,0.08,0.0
height_cm,hydration_level,0.01,0.01,0.0,0.0
height_cm,resting_heart_rate,0.05,0.05,0.0,0.0
blood_pressure_systolic,height_cm,0.08,0.0,0.08,0.0
blood_pressure_diastolic,height_cm,0.04,0.0,0.04,0.0
fitness_level,height_cm,0.01,0.0,0.01,0.0
calories_burned,duration_minutes,1.0,0.02,0.96,0.02
avg_heart_rate,duration_minutes,0.0,0.0,0.0,0.0
duration_minutes,hours_sleep,0.0,0.0,0.0,0.0
duration_minutes,stress_level,0.14,0.1,0.04,0.0
daily_steps,duration_minutes,0.05,0.0,0.05,0.0
duration_minutes,hydration_level,0.09,0.06,0.03,0.0
duration_minutes,resting_heart_rate,0.26,0.17,0.09,0.0
blood_pressure_systolic,duration_minutes,0.05,0.03,0.02,0.0
blood_pressure_diastolic,duration_minutes,0.01,0.0,0.01,0.0
duration_minutes,fitness_level,1.0,0.67,0.24,0.09
avg_heart_rate,calories_burned,0.14,0.14,0.0,0.0
calories_burned,hours_sleep,0.02,0.0,0.02,0.0
calories_burned,stress_level,0.03,0.0,0.03,0.0
calories_burned,daily_steps,0.1,0.0,0.1,0.0
calories_burned,hydration_level,0.0,0.0,0.0,0.0
calories_burned,resting_heart_rate,0.03,0.01,0.02,0.0
blood_pressure_systolic,calories_burned,0.06,0.06,0.0,0.0
blood_pressure_diastolic,calories_burned,0.05,0.05,0.0,0.0
calories_burned,fitness_level,0.94,0.11,0.83,0.0
avg_heart_rate,hours_sleep,0.0,0.0,0.0,0.0
avg_heart_rate,stress_level,0.06,0.05,0.01,0.0
avg_heart_rate,daily_steps,0.08,0.06,0.01,0.01
avg_heart_rate,hydration_level,0.05,0.02,0.01,0.02
avg_heart_rate,resting_heart_rate,0.0,0.0,0.0,0.0
avg_heart_rate,blood_pressure_systolic,0.01,0.01,0.0,0.0
avg_heart_rate,blood_pressure_diastolic,0.0,0.0,0.0,0.0
avg_heart_rate,fitness_level,0.07,0.07,0.0,0.0
hours_sleep,stress_level,0.11,0.07,0.02,0.02
daily_steps,hours_sleep,0.03,0.01,0.02,0.0
hours_sleep,hydration_level,0.12,0.12,0.0,0.0
hours_sleep,resting_heart_rate,0.07,0.05,0.01,0.01
blood_pressure_systolic,hours_sleep,0.11,0.05,0.04,0.02
blood_pressure_diastolic,hours_sleep,0.06,0.03,0.02,0.01
fitness_level,hours_sleep,0.48,0.03,0.44,0.01
daily_steps,stress_level,0.09,0.03,0.06,0.0
hydration_level,stress_level,0.17,0.07,0.09,0.01
resting_heart_rate,stress_level,0.18,0.07,0.1,0.01
blood_pressure_systolic,stress_level,0.07,0.02,0.04,0.01
blood_pressure_diastolic,stress_level,0.09,0.04,0.05,0.0
fitness_level,stress_level,0.04,0.02,0.02,0.0
daily_steps,hydration_level,0.63,0.4,0.15,0.08
daily_steps,resting_heart_rate,0.06,0.03,0.03,0.0
blood_pressure_systolic,daily_steps,0.08,0.02,0.05,0.01
blood_pressure_diastolic,daily_steps,0.07,0.01,0.05,0.01
daily_steps,fitness_level,0.06,0.04,0.02,0.0
hydration_level,resting_heart_rate,0.51,0.35,0.12,0.04
blood_pressure_systolic,hydration_level,0.25,0.12,0.13,0.0
blood_pressure_diastolic,hydration_level,0.02,0.01,0.01,0.0
fitness_level,hydration_level,0.14,0.0,0.14,0.0
blood_pressure_systolic,resting_heart_rate,0.09,0.05,0.04,0.0
blood_pressure_diastolic,resting_heart_rate,0.35,0.17,0.15,0.03
fitness_level,resting_heart_rate,0.12,0.01,0.11,0.0
blood_pressure_diastolic,blood_pressure_systolic,0.15,0.06,0.07,0.02
blood_pressure_systolic,fitness_level,0.12,0.11,0.01,0.0
blood_pressure_diastolic,fitness_level,0.09,0.09,0.0,0.0
