node_a,node_b,in_pc,pc_orientation,in_ges,ges_orientation,agreement_type
age,avg_heart_rate,True,age->avg_heart_rate,True,avg_heart_rate->age,shared_adjacency_different_direction
age,duration_minutes,False,absent,True,duration_minutes->age,ges_only
age,fitness_level,False,absent,True,fitness_level->age,ges_only
calories_burned,duration_minutes,True,duration_minutes->calories_burned,True,duration_minutes->calories_burned,same_direction
calories_burned,fitness_level,True,fitness_level->calories_burned,True,fitness_level->calories_burned,same_direction
calories_burned,height_cm,True,height_cm->calories_burned,True,height_cm->calories_burned,same_direction
daily_steps,hydration_level,True,daily_steps->hydration_level,False,absent,pc_only
duration_minutes,fitness_level,True,duration_minutes->fitness_level,True,undirected,shared_adjacency_different_direction
fitness_level,hours_sleep,True,hours_sleep->fitness_level,False,absent,pc_only
hydration_level,resting_heart_rate,True,resting_heart_rate->hydration_level,False,absent,pc_only
