['activity_type_HIIT' 'calories_burned']
['date' 'daily_steps']
['duration_minutes' 'daily_steps']
['duration_minutes' 'hydration_level']
['hours_sleep' 'hydration_level']
['date' 'fitness_level']
['duration_minutes' 'fitness_level']
['activity_type_Basketball' 'activity_type_Running']
['activity_type_Cycling' 'activity_type_Running']
['activity_type_Dancing' 'activity_type_Running']
['activity_type_Swimming' 'activity_type_Running']
['activity_type_Tennis' 'activity_type_Running']
['activity_type_Walking' 'activity_type_Running']
['activity_type_Weight Training' 'activity_type_Running']
['activity_type_Yoga' 'activity_type_Running']
['calories_burned' 'activity_type_Walking']
['activity_type_Basketball' 'activity_type_Walking']
['activity_type_Cycling' 'activity_type_Walking']
['activity_type_Dancing' 'activity_type_Walking']
['activity_type_Swimming' 'activity_type_Walking']
['activity_type_Tennis' 'activity_type_Walking']
['activity_type_Weight Training' 'activity_type_Walking']
['calories_burned' 'activity_type_Yoga']
['activity_type_Basketball' 'activity_type_Yoga']
['activity_type_Cycling' 'activity_type_Yoga']
['activity_type_Dancing' 'activity_type_Yoga']
['activity_type_Swimming' 'activity_type_Yoga']
['activity_type_Tennis' 'activity_type_Yoga']
['activity_type_Weight Training' 'activity_type_Yoga']
['health_condition_Diabetes' 'health_condition_None']
['health_condition_Hypertension' 'health_condition_None']
