['hours_sleep' 'duration_minutes']
['activity_type' 'calories_burned']
['duration_minutes' 'calories_burned']
['fitness_level' 'calories_burned']
['age' 'avg_heart_rate']
['intensity' 'avg_heart_rate']
['age' 'bmi']
['calories_burned' 'bmi']
['blood_pressure_systolic' 'bmi']
['duration_minutes' 'resting_heart_rate']
['hydration_level' 'resting_heart_rate']
['blood_pressure_diastolic' 'resting_heart_rate']
['smoking_status' 'resting_heart_rate']
['date' 'fitness_level']
['duration_minutes' 'fitness_level']
['daily_steps' 'fitness_level']
