target,rmse,mae,r2,rmse_original_units,mae_original_units,n
activity_type,0.0,0.0,1.0,,,36000
age,0.0,0.0,1.0,0.0,0.0,36000
avg_heart_rate,0.3194303247012924,0.2534895164377616,0.8978435521711825,3.4059205804090857,2.7028277974568464,36000
blood_pressure_diastolic,0.0,0.0,1.0,0.0,0.0,36000
blood_pressure_systolic,0.0,0.0,1.0,0.0,0.0,36000
bmi,0.9094386755675792,0.7303426838347554,0.17337643410685666,3.245164313795595,2.6060932728015804,36000
calories_burned,0.7426979488139518,0.5775435846748002,0.4480875523347547,3.7928859976658735,2.949458765643563,36000
daily_steps,0.0,0.0,1.0,0.0,0.0,36000
date,0.0,0.0,1.0,,,36000
duration_minutes,0.999621556724749,0.7966104891873743,0.00014003419338592948,6.843097386413252,5.453346939024188,36000
fitness_level,0.11485417099280762,0.08533562728622382,0.986807903428223,0.6400060605241064,0.475518809371143,36000
hours_sleep,0.0,0.0,1.0,0.0,0.0,36000
hydration_level,0.0,0.0,1.0,0.0,0.0,36000
intensity,0.0,0.0,1.0,,,36000
resting_heart_rate,0.9992396921054807,0.7994043484826023,0.001902937678463168,5.075921289074102,4.060801010107309,36000
smoking_status,0.0,0.0,1.0,,,36000
